Ngram,Mutual Information
begin van de dag,0.03380735944
nu al zin in,0.03023482303
morgen weer naar school,0.03023482303
! [ newline ],0.02867306153
( via @nunl ),0.02867306153
. [ newline ],0.02642366364
kijken er nu al,0.02618118262
hebben er zin in,0.02618118262
... # fail #,0.02618118262
. bron : @telegraaf,0.02618118262
. ik kijken er,0.02618118262
ik kijken er nu,0.02618118262
wat zijn het toch,0.02618118262
al naar uit .,0.02618118262
# veilignederland volgens opstelten,0.02618118262
", wat een feest",0.02618118262
! ! [ newline,0.02618118262
wat een feest !,0.02618118262
goed begin van de,0.02618118262
[ newline ] #,0.02618118262
van de dag .,0.02618118262
. [ newline][newline ],0.02479391869
willen ik ook !,0.02137444461
... [ newline ],0.01524198707
[ newline][newline ] leuke,0.01511231719
de albert heijn van,0.01511231719
$ : $ :,0.01511231719
tot 11:00[newline][newline ] werk,0.01511231719
11:00[newline][newline ] werk bij,0.01511231719
] werk bij de,0.01511231719
werk bij de albert,0.01511231719
bij de albert heijn,0.01511231719
] switched [ newline][newline,0.01511231719
: $ : $,0.01511231719
â˜º ï¸ â˜º ï¸,0.01511231719
switched [ newline][newline ],0.01511231719
ï¸ â˜º ï¸ â˜º,0.01511231719
dag toch ? #,0.01511231719
leuke dag toch ?,0.01511231719
] leuke dag toch,0.01511231719
newline][newline ] leuke dag,0.01511231719
! ? ! ?,0.008870892166
? ! ? !,0.008870892166
nos # journaal #,0.008870892166
# nos # journaal,0.008870892166
in de bus naar,0.008870892166
? # dtv #,0.008870892166
via @nunl ) http://someurl,0.008870892166
ik denken dat ik,0.005374359473
! ! ! !,0.0003052151463
! ! ! http://someurl,0.0002491511029
newline ] metronieuws.nl http://someurl,0.0002491511029
vvd [ newline ],0.0002491511029
ik ook ! ik,0.0001761368486
? ? ? ?,0.0001761368486
"ja , dat zijn",0.0001761368486
[ newline ] metronieuws.nl,-0.006427163032
[ newline ] http://someurl,-0.006549474328
aan het einde van,-0.008439398288
om te zien dat,-0.008439398288
! [ newline][newline ],-0.008439398288
hup vvd [ newline,-0.008439398288
op zoek naar een,-0.008439398288
voor het Ã©Ã©n in,-0.008439398288
ğŸ˜‚ ğŸ˜‚ ğŸ˜‚ ğŸ˜‚,-0.01983867052
! ! ! #,-0.02086009863
ğŸ‘ ğŸ» ğŸ‘ ğŸ»,-0.02102217091
"talent door lef ,",-0.02574968874
bloeiende talent door lef,-0.02574968874
"door lef , authenticiteit",-0.02574968874
zijn er klaar voor,-0.02574968874
"lef , authenticiteit en",-0.02574968874
", authenticiteit en doorzettingsvermog",-0.02574968874
newline ] http://someurl #,-0.02574968874
op de stand van,-0.02574968874
de stand van @thiememeulenhof,-0.02574968874
! rt @fmbrussel :,-0.02574968874
in de stand van,-0.02574968874
draagt u ons een,-0.02574968874
hebben een video toevoegen,-0.02574968874
een vriendenvereniging . draagt,-0.02574968874
daily # strip #,-0.02574968874
ik hebben een video,-0.02574968874
een video toevoegen aan,-0.02574968874
video toevoegen aan een,-0.02574968874
toevoegen aan een @youtube-afspeellijst,-0.02574968874
aan een @youtube-afspeellijst :,-0.02574968874
een @youtube-afspeellijst : http://someurl,-0.02574968874
het onderwijsmuseum hebben ook,-0.02574968874
onderwijsmuseum hebben ook een,-0.02574968874
hebben ook een vriendenvereniging,-0.02574968874
ook een vriendenvereniging .,-0.02574968874
] http://someurl # rt,-0.02574968874
vriendenvereniging . draagt u,-0.02574968874
u ons een warm,-0.02574968874
ons een warm hart,-0.02574968874
een warm hart toe,-0.02574968874
warm hart toe ?,-0.02574968874
hart toe ? word,-0.02574968874
toe ? word dan,-0.02574968874
? word dan lid,-0.02574968874
word dan lid :,-0.02574968874
. draagt u ons,-0.02574968874
dan lid : http://someurl,-0.02574968874
vinden een @youtube-video van,-0.02973652082
http://someurl # daily #,-0.02973652082
ik vinden een @youtube-video,-0.03325017801
# daily # strip,-0.03325017801
schoolplat uit ons collectie,-0.03325017801
onder ander schoolplat uit ons,-0.03325017801
"het koninkrijk , met",-0.03325017801
met onder ander schoolplat uit,-0.03325017801
", met onder ander schoolplat",-0.03325017801
"koninkrijk , met onder ander",-0.03325017801
: het ontstaan van,-0.03325017801
"van het koninkrijk ,",-0.03325017801
ontstaan van het koninkrijk,-0.03325017801
het ontstaan van het,-0.03325017801
zien : het ontstaan,-0.03325017801
te zien : het,-0.03325017801
patriciÃ«rshuis te zien :,-0.03325017801
dordts patriciÃ«rshuis te zien,-0.03325017801
het dordts patriciÃ«rshuis te,-0.03325017801
? [ newline ],-0.03642784016
in het dordts patriciÃ«rshuis,-0.03642784016
uit ons collectie :,-0.03935098907
ons collectie : http://someurl,-0.03935098907
[ newline][newline ] http://someurl,-0.04030313952
ik ook ! ik,-0.02198823929
ğŸ‘ ğŸ» ğŸ‘ ğŸ»,-0.02198823929
willen ik ook !,-0.02198823929
? ? ? ?,-0.02198823929
[ newline ] http://someurl,-0.02358356093
! ! ! !,-0.02584973195
] http://someurl # rt,-0.02693300898
? # dtv #,-0.02693300898
daily # strip #,-0.02693300898
in de stand van,-0.02693300898
hart toe ? word,-0.02693300898
warm hart toe ?,-0.02693300898
een @youtube-afspeellijst : http://someurl,-0.02693300898
toevoegen aan een @youtube-afspeellijst,-0.02693300898
ik hebben een video,-0.02693300898
hebben een video toevoegen,-0.02693300898
de stand van @thiememeulenhof,-0.02693300898
een video toevoegen aan,-0.02693300898
video toevoegen aan een,-0.02693300898
op de stand van,-0.02693300898
aan een @youtube-afspeellijst :,-0.02693300898
hebben ook een vriendenvereniging,-0.02693300898
zijn er klaar voor,-0.02693300898
newline ] http://someurl #,-0.02693300898
", authenticiteit en doorzettingsvermog",-0.02693300898
"lef , authenticiteit en",-0.02693300898
"door lef , authenticiteit",-0.02693300898
"talent door lef ,",-0.02693300898
onderwijsmuseum hebben ook een,-0.02693300898
ook een vriendenvereniging .,-0.02693300898
het onderwijsmuseum hebben ook,-0.02693300898
een vriendenvereniging . draagt,-0.02693300898
toe ? word dan,-0.02693300898
? word dan lid,-0.02693300898
word dan lid :,-0.02693300898
dan lid : http://someurl,-0.02693300898
een warm hart toe,-0.02693300898
ons een warm hart,-0.02693300898
u ons een warm,-0.02693300898
! rt @fmbrussel :,-0.02693300898
draagt u ons een,-0.02693300898
. draagt u ons,-0.02693300898
vriendenvereniging . draagt u,-0.02693300898
bloeiende talent door lef,-0.02693300898
http://someurl # daily #,-0.03110305489
vinden een @youtube-video van,-0.03110305489
ğŸ˜‚ ğŸ˜‚ ğŸ˜‚ ğŸ˜‚,-0.03477818128
onder ander schoolplat uit ons,-0.03477818128
schoolplat uit ons collectie,-0.03477818128
# daily # strip,-0.03477818128
"koninkrijk , met onder ander",-0.03477818128
ik vinden een @youtube-video,-0.03477818128
"het koninkrijk , met",-0.03477818128
"van het koninkrijk ,",-0.03477818128
ontstaan van het koninkrijk,-0.03477818128
het dordts patriciÃ«rshuis te,-0.03477818128
het ontstaan van het,-0.03477818128
met onder ander schoolplat uit,-0.03477818128
: het ontstaan van,-0.03477818128
zien : het ontstaan,-0.03477818128
te zien : het,-0.03477818128
patriciÃ«rshuis te zien :,-0.03477818128
dordts patriciÃ«rshuis te zien,-0.03477818128
", met onder ander schoolplat",-0.03477818128
in het dordts patriciÃ«rshuis,-0.03810187206
ons collectie : http://someurl,-0.04115935352
uit ons collectie :,-0.04115935352
[ newline][newline ] http://someurl,-0.05161920594